fiscal_quarter,metric_name,target_value
2017-Q1,target_net_margin_pct,18
2017-Q1,collections_risk_threshold_pct,15
2017-Q2,target_net_margin_pct,18
2017-Q2,collections_risk_threshold_pct,15
2017-Q3,target_net_margin_pct,18
2017-Q3,collections_risk_threshold_pct,15
2017-Q4,target_net_margin_pct,18
2017-Q4,collections_risk_threshold_pct,15
2018-Q1,target_net_margin_pct,18
2018-Q1,collections_risk_threshold_pct,15
2018-Q2,target_net_margin_pct,18
2018-Q2,collections_risk_threshold_pct,15
2018-Q3,target_net_margin_pct,18
2018-Q3,collections_risk_threshold_pct,15
2018-Q4,target_net_margin_pct,18
2018-Q4,collections_risk_threshold_pct,15
2019-Q1,target_net_margin_pct,18
2019-Q1,collections_risk_threshold_pct,15
2019-Q2,target_net_margin_pct,18
2019-Q2,collections_risk_threshold_pct,15
2019-Q3,target_net_margin_pct,18
2019-Q3,collections_risk_threshold_pct,15
2019-Q4,target_net_margin_pct,18
2019-Q4,collections_risk_threshold_pct,15
2020-Q1,target_net_margin_pct,18
2020-Q1,collections_risk_threshold_pct,15
2020-Q2,target_net_margin_pct,18
2020-Q2,collections_risk_threshold_pct,15
2020-Q3,target_net_margin_pct,18
2020-Q3,collections_risk_threshold_pct,15
2020-Q4,target_net_margin_pct,18
2020-Q4,collections_risk_threshold_pct,15
