fiscal_quarter,pl_section,target_amount
2017-Q1,Revenue,125000
2017-Q1,COGS,55000
2017-Q1,Operating Expense,41000
2017-Q1,Other Expense,2600
2017-Q1,Tax,4800
2017-Q2,Revenue,129306.75
2017-Q2,COGS,56894.97
2017-Q2,Operating Expense,42412.61
2017-Q2,Other Expense,2689.58
2017-Q2,Tax,4965.38
2017-Q3,Revenue,131560
2017-Q3,COGS,57886.4
2017-Q3,Operating Expense,43151.68
2017-Q3,Other Expense,2736.45
2017-Q3,Tax,5051.9
2017-Q4,Revenue,130849.17
2017-Q4,COGS,57573.64
2017-Q4,Operating Expense,42918.53
2017-Q4,Other Expense,2721.66
2017-Q4,Tax,5024.61
2018-Q1,Revenue,128000
2018-Q1,COGS,56320
2018-Q1,Operating Expense,41984
2018-Q1,Other Expense,2662.4
2018-Q1,Tax,4915.2
2018-Q2,Revenue,125108.4
2018-Q2,COGS,55047.7
2018-Q2,Operating Expense,41035.56
2018-Q2,Other Expense,2602.25
2018-Q2,Tax,4804.16
2018-Q3,Revenue,124320
2018-Q3,COGS,54700.8
2018-Q3,Operating Expense,40776.96
2018-Q3,Other Expense,2585.86
2018-Q3,Tax,4773.89
2018-Q4,Revenue,126565.97
2018-Q4,COGS,55689.03
2018-Q4,Operating Expense,41513.64
2018-Q4,Other Expense,2632.57
2018-Q4,Tax,4860.13
2019-Q1,Revenue,131000
2019-Q1,COGS,57640
2019-Q1,Operating Expense,42968
2019-Q1,Other Expense,2724.8
2019-Q1,Tax,5030.4
2019-Q2,Revenue,135476.45
2019-Q2,COGS,59609.64
2019-Q2,Operating Expense,44436.28
2019-Q2,Other Expense,2817.91
2019-Q2,Tax,5202.3
2019-Q3,Revenue,137800
2019-Q3,COGS,60632
2019-Q3,Operating Expense,45198.4
2019-Q3,Other Expense,2866.24
2019-Q3,Tax,5291.52
2019-Q4,Revenue,137018.88
2019-Q4,COGS,60288.31
2019-Q4,Operating Expense,44942.19
2019-Q4,Other Expense,2849.99
2019-Q4,Tax,5261.52
2020-Q1,Revenue,134000
2020-Q1,COGS,58960
2020-Q1,Operating Expense,43952
2020-Q1,Other Expense,2787.2
2020-Q1,Tax,5145.6
2020-Q2,Revenue,130938.69
2020-Q2,COGS,57613.03
2020-Q2,Operating Expense,42947.89
2020-Q2,Other Expense,2723.52
2020-Q2,Tax,5028.05
2020-Q3,Revenue,130080
2020-Q3,COGS,57235.2
2020-Q3,Operating Expense,42666.24
2020-Q3,Other Expense,2705.66
2020-Q3,Tax,4995.07
2020-Q4,Revenue,132396.27
2020-Q4,COGS,58254.36
2020-Q4,Operating Expense,43425.98
2020-Q4,Other Expense,2753.84
2020-Q4,Tax,5084.02
