transaction_id,transaction_date,fiscal_quarter,account_id,amount,description
TXN-00020,2020-04-03,2020-Q2,REV-100,5336.95,Service revenue
TXN-00032,2020-04-03,2020-Q2,COGS-100,1347.26,Inventory purchase
TXN-00023,2020-04-04,2020-Q2,REV-100,5942.95,Product sales
TXN-00051,2020-04-05,2020-Q2,COGS-200,304.3,Carrier charge
TXN-00099,2020-04-07,2020-Q2,OPEX-300,736.05,Internet service
TXN-00033,2020-04-08,2020-Q2,COGS-100,2346.97,Supplier invoice
TXN-00054,2020-04-08,2020-Q2,COGS-200,515.37,Packaging & postage
TXN-00003,2020-04-09,2020-Q2,REV-100,2334.35,Product sales
TXN-00052,2020-04-11,2020-Q2,COGS-200,389.72,Packaging & postage
TXN-00035,2020-04-12,2020-Q2,COGS-100,2419.79,Materials cost
TXN-00024,2020-04-13,2020-Q2,REV-100,3663.35,Service revenue
TXN-00048,2020-04-14,2020-Q2,COGS-200,597.8,Packaging & postage
TXN-00013,2020-04-15,2020-Q2,REV-100,4945.12,Online order
TXN-00038,2020-04-15,2020-Q2,COGS-100,2158.14,Supplier invoice
TXN-00076,2020-04-15,2020-Q2,COGS-300,205.54,Payment gateway fee
TXN-00091,2020-04-15,2020-Q2,OPEX-100,371.24,Sponsored listing fee
TXN-00102,2020-04-17,2020-Q2,OPEX-400,1458.04,Website platform subscription
TXN-00104,2020-04-17,2020-Q2,OPEX-600,65.9,Office supplies order
TXN-00057,2020-04-18,2020-Q2,COGS-200,694.22,Carrier charge
TXN-00070,2020-04-18,2020-Q2,COGS-300,180.49,Payment gateway fee
TXN-00001,2020-04-19,2020-Q2,REV-100,3921.53,Product sales
TXN-00026,2020-04-19,2020-Q2,REV-100,4071.29,Service revenue
TXN-00002,2020-04-20,2020-Q2,REV-100,4314.97,Product sales
TXN-00068,2020-04-20,2020-Q2,COGS-300,215.55,Payment gateway fee
TXN-00086,2020-04-20,2020-Q2,COGS-300,93.46,Card processing fee
TXN-00111,2020-04-21,2020-Q2,TAX-100,4929.6,Estimated tax payment
TXN-00027,2020-04-24,2020-Q2,COGS-100,2247.3,Inventory purchase
TXN-00036,2020-04-24,2020-Q2,COGS-100,2468.34,Materials cost
TXN-00055,2020-04-24,2020-Q2,COGS-200,382.23,Freight invoice
TXN-00071,2020-04-24,2020-Q2,COGS-300,67.13,Card processing fee
TXN-00097,2020-04-24,2020-Q2,OPEX-200,4181.73,Payroll run
TXN-00069,2020-04-25,2020-Q2,COGS-300,123.99,Card processing fee
TXN-00065,2020-04-26,2020-Q2,COGS-300,103.47,Payment gateway fee
TXN-00081,2020-04-26,2020-Q2,COGS-300,140.54,Payment gateway fee
TXN-00110,2020-04-26,2020-Q2,OEXP-100,803.2,Bank fee
TXN-00037,2020-04-27,2020-Q2,COGS-100,2746.81,Supplier invoice
TXN-00072,2020-04-28,2020-Q2,COGS-300,196.21,Card processing fee
TXN-00078,2020-05-01,2020-Q2,COGS-300,86.6,Payment gateway fee
TXN-00085,2020-05-01,2020-Q2,COGS-300,236.05,Payment gateway fee
TXN-00090,2020-05-01,2020-Q2,OPEX-100,779.29,Social ad campaign
TXN-00080,2020-05-02,2020-Q2,COGS-300,203.16,Payment gateway fee
TXN-00029,2020-05-03,2020-Q2,COGS-100,2124.29,Supplier invoice
TXN-00060,2020-05-04,2020-Q2,COGS-200,326.35,Packaging & postage
TXN-00107,2020-05-05,2020-Q2,OPEX-600,135.08,Office supplies order
TXN-00004,2020-05-06,2020-Q2,REV-100,3569.96,Service revenue
TXN-00028,2020-05-07,2020-Q2,COGS-100,2219.53,Supplier invoice
TXN-00058,2020-05-08,2020-Q2,COGS-200,673.54,Carrier charge
TXN-00067,2020-05-08,2020-Q2,COGS-300,168,Card processing fee
TXN-00016,2020-05-10,2020-Q2,REV-100,4713.78,Service revenue
TXN-00103,2020-05-11,2020-Q2,OPEX-400,1731.86,Website platform subscription
TXN-00079,2020-05-12,2020-Q2,COGS-300,76.39,Card processing fee
TXN-00077,2020-05-14,2020-Q2,COGS-300,154.02,Card processing fee
TXN-00084,2020-05-14,2020-Q2,COGS-300,151.89,Card processing fee
TXN-00073,2020-05-15,2020-Q2,COGS-300,207.94,Payment gateway fee
TXN-00010,2020-05-16,2020-Q2,REV-100,5760.45,Online order
TXN-00042,2020-05-16,2020-Q2,COGS-100,3575.66,Supplier invoice
TXN-00083,2020-05-16,2020-Q2,COGS-300,206.75,Card processing fee
TXN-00064,2020-05-17,2020-Q2,COGS-300,105.36,Payment gateway fee
TXN-00100,2020-05-18,2020-Q2,OPEX-300,1100.1,Internet service
TXN-00108,2020-05-18,2020-Q2,OEXP-100,903.74,Professional services
TXN-00044,2020-05-19,2020-Q2,COGS-100,3372.35,Supplier invoice
TXN-00062,2020-05-19,2020-Q2,COGS-300,67.33,Card processing fee
TXN-00074,2020-05-19,2020-Q2,COGS-300,130.29,Card processing fee
TXN-00005,2020-05-20,2020-Q2,REV-100,8546.21,Online order
TXN-00022,2020-05-20,2020-Q2,REV-100,5665.98,Product sales
TXN-00050,2020-05-21,2020-Q2,COGS-200,644.1,Freight invoice
TXN-00087,2020-05-21,2020-Q2,COGS-300,87.96,Payment gateway fee
TXN-00009,2020-05-23,2020-Q2,REV-100,3247.37,Product sales
TXN-00031,2020-05-23,2020-Q2,COGS-100,1795.18,Materials cost
TXN-00082,2020-05-23,2020-Q2,COGS-300,221.12,Card processing fee
TXN-00101,2020-05-23,2020-Q2,OPEX-300,399.05,Internet service
