invoice_id,customer_id,invoice_date,due_date,fiscal_quarter,invoice_amount,amount_paid,status,paid_date
INV-00001,CUST-015,2020-04-03,2020-05-03,2020-Q2,7741.3,7741.3,Paid,2020-05-05
INV-00002,CUST-001,2020-05-10,2020-06-10,2020-Q2,1865.05,1283.45,Partial,
INV-00003,CUST-021,2020-06-10,2020-07-10,2020-Q2,2773.94,0,Unpaid,
INV-00004,CUST-022,2020-05-26,2020-06-26,2020-Q2,1810.58,0,Unpaid,
INV-00005,CUST-013,2020-06-07,2020-07-07,2020-Q2,6740.08,3052.62,Partial,
INV-00006,CUST-017,2020-04-03,2020-05-03,2020-Q2,6929.57,1161.94,Partial,
INV-00007,CUST-008,2020-05-15,2020-06-15,2020-Q2,5709.16,5709.16,Paid,2020-06-19
INV-00008,CUST-004,2020-05-05,2020-06-05,2020-Q2,1264.25,1264.25,Paid,2020-06-13
INV-00009,CUST-003,2020-05-23,2020-06-23,2020-Q2,1358.32,1358.32,Paid,2020-06-01
INV-00010,CUST-006,2020-06-02,2020-07-02,2020-Q2,6536.78,6536.78,Paid,2020-07-08
INV-00011,CUST-009,2020-05-16,2020-06-16,2020-Q2,8103.09,8103.09,Paid,2020-06-20
INV-00012,CUST-004,2020-05-14,2020-06-14,2020-Q2,1045.2,1045.2,Paid,2020-06-27
INV-00013,CUST-013,2020-04-26,2020-05-26,2020-Q2,6696.47,6696.47,Paid,2020-05-02
INV-00014,CUST-010,2020-06-14,2020-07-14,2020-Q2,6545.33,6545.33,Paid,2020-07-24
INV-00015,CUST-016,2020-04-27,2020-05-27,2020-Q2,8133.89,0,Unpaid,
INV-00016,CUST-006,2020-05-12,2020-06-12,2020-Q2,654.07,654.07,Paid,2020-06-23
INV-00017,CUST-012,2020-06-21,2020-07-21,2020-Q2,5597.74,5597.74,Paid,2020-07-26
INV-00018,CUST-001,2020-06-22,2020-07-22,2020-Q2,2337.15,1163.13,Partial,
INV-00019,CUST-008,2020-04-18,2020-05-18,2020-Q2,7421.11,7421.11,Paid,2020-05-16
INV-00020,CUST-003,2020-05-02,2020-06-02,2020-Q2,2604.79,2604.79,Paid,2020-06-03
INV-00021,CUST-010,2020-04-24,2020-05-24,2020-Q2,1677.8,1677.8,Paid,2020-05-21
INV-00022,CUST-004,2020-04-02,2020-05-02,2020-Q2,5116.35,5116.35,Paid,2020-05-21
INV-00023,CUST-002,2020-05-23,2020-06-23,2020-Q2,1485.83,0,Unpaid,
INV-00024,CUST-011,2020-05-11,2020-06-11,2020-Q2,5103.67,5103.67,Paid,2020-06-02
INV-00025,CUST-018,2020-05-21,2020-06-21,2020-Q2,4112.58,2102.35,Partial,
INV-00026,CUST-020,2020-05-26,2020-06-26,2020-Q2,5314.6,5314.6,Paid,2020-06-25
INV-00027,CUST-010,2020-04-12,2020-05-12,2020-Q2,7777.8,7777.8,Paid,2020-05-16
INV-00028,CUST-006,2020-04-15,2020-05-15,2020-Q2,3094.7,975.6,Partial,
INV-00029,CUST-008,2020-06-16,2020-07-16,2020-Q2,1904.64,0,Unpaid,
INV-00030,CUST-009,2020-06-18,2020-07-18,2020-Q2,7604.93,7604.93,Paid,2020-07-06
INV-00031,CUST-006,2020-04-21,2020-05-21,2020-Q2,6623.23,6623.23,Paid,2020-05-25
INV-00032,CUST-019,2020-04-17,2020-05-17,2020-Q2,7436.95,7436.95,Paid,2020-05-19
INV-00033,CUST-019,2020-05-20,2020-06-20,2020-Q2,4008.49,4008.49,Paid,2020-06-08
INV-00034,CUST-015,2020-04-11,2020-05-11,2020-Q2,6078.79,6078.79,Paid,2020-05-22
INV-00035,CUST-021,2020-08-14,2020-09-14,2020-Q3,1341.42,1341.42,Paid,2020-09-10
INV-00036,CUST-016,2020-09-08,2020-10-08,2020-Q3,6781.93,6781.93,Paid,2020-10-26
INV-00037,CUST-004,2020-08-01,2020-09-01,2020-Q3,7921.44,7921.44,Paid,2020-09-02
INV-00038,CUST-001,2020-07-28,2020-08-28,2020-Q3,7070.35,7070.35,Paid,2020-08-02
INV-00039,CUST-020,2020-09-21,2020-10-21,2020-Q3,7251.73,2748.07,Partial,
INV-00040,CUST-002,2020-09-19,2020-10-19,2020-Q3,1873.85,0,Unpaid,
INV-00041,CUST-010,2020-08-16,2020-09-16,2020-Q3,2820.72,2820.72,Paid,2020-09-08
INV-00042,CUST-012,2020-07-21,2020-08-21,2020-Q3,6832.31,6832.31,Paid,2020-08-20
INV-00043,CUST-003,2020-08-16,2020-09-16,2020-Q3,4751.25,4751.25,Paid,2020-09-06
INV-00044,CUST-009,2020-07-05,2020-08-05,2020-Q3,2265.69,2265.69,Paid,2020-08-26
